"{""type"":""handy""}",
34900,91
35033,73
35166,84
35333,100
35533,91
35666,92
35666,91
35800,73
35933,84
36100,100
36300,91
36433,92
36433,91
36566,73
36700,84
36866,100
37066,91
37200,92
37400,100
37900,61
38133,20
38533,90
38733,100
39100,63
39333,30
39733,90
40033,100
40200,80
40300,87
40500,100
40666,92
40833,100
40833,100
41333,61
41566,20
41966,90
42166,100
42533,63
42766,30
43166,90
43466,100
43633,80
43733,87
43933,100
44100,92
44266,100
44266,100
44766,61
45000,20
45400,90
45600,100
45966,63
46200,30
46600,90
46900,100
47066,80
47166,87
47366,100
47533,92
47700,100
48900,92
49033,74
49300,100
49666,92
49666,92
49800,74
50066,100
50433,92
50433,92
50566,74
50833,100
51200,92
51799,100
51999,82
52366,72
52666,66
52966,55
53233,68
53866,100
53866,100
54066,82
54433,72
54733,66
55033,55
55299,68
55933,100
55933,100
56133,82
56499,72
56799,66
57100,55
57366,68
57999,100
58200,91
58433,26
58533,31
58666,68
58966,91
59000,90
59200,40
59700,18
59800,18
59966,72
60233,93
60266,94
60466,31
60500,28
60600,36
60733,70
61000,90
61066,92
61266,33
61300,26
61400,33
61533,71
62033,97
62233,74
62500,100
63066,90
63066,91
63300,26
63400,31
63533,68
63833,91
63866,90
64066,40
64566,18
64666,18
64833,72
65100,93
65133,94
65333,31
65366,28
65466,36
65600,70
65866,90
65933,92
66133,33
66166,26
66266,33
66400,71
66900,97
67100,74
67366,100
67933,90
67933,91
68166,26
68266,31
68400,68
68700,91
68733,90
68933,40
69433,18
69533,18
69700,72
69966,93
70000,94
70200,31
70233,28
70333,36
70466,70
70733,90
70800,92
71000,33
71033,26
71133,33
71266,71
71766,97
71966,74
72233,100
72800,90
73000,90
73133,98
73266,22
73433,7
73533,77
73600,91
73600,90
73733,98
73866,22
74033,7
74133,77
74200,91
74200,90
74333,98
74466,22
74633,7
74733,77
74800,91
75000,92
75066,78
75133,0
75233,7
75400,90
75400,92
75466,78
75533,0
75633,7
75800,90
75800,92
75866,78
75933,0
76033,7
76200,90
79300,91
79400,0
79466,10
79566,91
79566,91
79666,0
79733,10
79833,91
79833,91
79933,0
80000,10
80100,91
80400,38
80500,0
81500,33
81633,1
82666,32
82833,0
84166,33
84300,0
85166,8
85700,18
86066,70
86533,91
86666,91
86733,100
86900,100
86900,38
87000,0
88000,33
88133,1
89166,32
89333,0
90666,33
90800,0
91666,8
92200,18
92566,70
93033,91
93166,91
93233,100
93400,100
93400,38
93500,0
94500,33
94633,1
95666,32
95833,0
97166,33
97300,0
98166,8
98700,18
99066,70
99533,91
99666,91
99733,100
99900,100
100000,100
101800,100
101800,100
103600,100
103600,100
105400,100
105700,35
105766,82
105833,91
105866,100
106066,100
106200,42
107233,100
107400,36
108400,100
108566,45
109866,100
110033,56
111000,100
111000,35
111066,82
111133,91
111166,100
111366,100
111500,42
112533,100
112700,36
113700,100
113866,45
115166,100
115333,56
116300,100
116300,35
116366,82
116433,91
116466,100
116666,100
116800,42
117833,100
118000,36
119000,100
119166,45
120466,100
120633,56
121600,100
121700,100
123500,100
123500,100
125300,100
125300,100
127100,100
