"{""type"":""handy""}",
5418133,48
5418300,31
5418299,48
5418466,31
5418465,48
5418632,31
5418133,48
5418300,31
5518333,27
5518533,33
5518900,58
5519333,27
5519333,27
5519533,33
5519900,58
5520333,27
5520333,27
5520533,33
5520900,58
5521333,27
5518333,27
5518533,33
5518900,58
5519333,27
5819433,62
5819600,73
5819599,62
5819766,73
5819765,62
5819932,73
5819433,62
5819600,73
5819633,76
5819766,26
5819933,76
5820100,26
5820200,76
5820199,76
5820332,26
5820499,76
5820666,26
5820766,76
5820765,76
5820898,26
5821065,76
5821232,26
5821332,76
5819633,76
5819766,26
5819933,76
5820100,26
5820200,76
6020300,100
6022566,77
6023133,100
6023366,91
6023600,21
6024033,33
6025033,33
6025100,35
6025100,100
6027366,77
6027933,100
6028166,91
6028400,21
6028833,33
6029833,33
6029900,35
6029900,100
6032166,77
6032733,100
6032966,91
6033200,21
6033633,33
6034633,33
6034700,35
6020300,100
6022566,77
6023133,100
6023366,91
6023600,21
6024033,33
6025033,33
6025100,35
7525133,27
7525466,65
7525700,71
7525866,24
7526133,30
7526133,27
7526466,65
7526700,71
7526866,24
7527133,30
7527133,27
7527466,65
7527700,71
7527866,24
7528133,30
7525133,27
7525466,65
7525700,71
7525866,24
7526133,30
7926333,28
7926533,72
7926666,93
7926733,82
7926833,12
7926900,20
7926966,20
7927033,28
7927033,28
7927233,72
7927366,93
7927433,82
7927533,12
7927600,20
7927666,20
7927733,28
7927733,28
7927933,72
7928066,93
7928133,82
7928233,12
7928300,20
7928366,20
7928433,28
7926333,28
7926533,72
7926666,93
7926733,82
7926833,12
7926900,20
7926966,20
7927033,28
8127233,87
8127300,100
8127400,11
8127500,20
8127600,72
8127599,87
8127666,100
8127766,11
8127866,20
8127966,72
8127965,87
8128032,100
8128132,11
8128232,20
8128332,72
8127233,87
8127300,100
8127400,11
8127500,20
8127600,72
8327800,14
8328000,48
8328133,57
8328266,13
8328800,14
8328800,14
8329000,48
8329133,57
8329266,13
8329800,14
8329800,14
8330000,48
8330133,57
8330266,13
8330800,14
8327800,14
8328000,48
8328133,57
8328266,13
8328800,14
8729000,17
8729200,56
8729300,65
8729400,8
8729700,17
8729700,17
8729900,56
8730000,65
8730100,8
8730400,17
8730400,17
8730600,56
8730700,65
8730800,8
8731100,17
8729000,17
8729200,56
8729300,65
8729400,8
8729700,17
8929900,61
8930000,71
8930066,0
8930166,13
8930266,50
8930266,61
8930366,71
8930432,0
8930532,13
8930632,50
8930632,61
8930732,71
8930798,0
8930898,13
8930998,50
8929900,61
8930000,71
8930066,0
8930166,13
8930266,50
12341300,61
12341400,60
12341500,70
12341566,0
12341666,10
12341800,60
12341900,60
12342000,70
12342066,0
12342166,10
12342266,60
12342366,60
12342433,70
12342500,0
12342566,10
12342666,65
12342766,67
12342833,0
12342900,10
12342966,60
12343033,60
12343066,70
12343133,0
12343200,10
12343266,60
12343333,60
12343366,70
12343433,0
12343500,10
12343566,60
12343633,60
12343666,70
12343733,0
12343800,10
12343866,60
12343933,60
12343966,70
12344033,0
12344100,10
12344700,60
12344833,64
12344900,0
12345300,0
12345833,10
12345966,40
12346000,0
12346600,10
12346800,50
12346866,0
12347866,10
12348133,50
12348200,0
12349100,10
12349100,61
12349200,60
12349300,70
12349366,0
12349466,10
12349600,60
12349700,60
12349800,70
12349866,0
12349966,10
12350066,60
12350166,60
12350233,70
12350300,0
12350366,10
12350466,65
12350566,67
12350633,0
12350700,10
12350766,60
12350833,60
12350866,70
12350933,0
12351000,10
12351066,60
12351133,60
12351166,70
12351233,0
12351300,10
12351366,60
12351433,60
12351466,70
12351533,0
12351600,10
12351666,60
12351733,60
12351766,70
12351833,0
12351900,10
12352500,60
12352633,64
12352700,0
12353100,0
12353633,10
12353766,40
12353800,0
12354400,10
12354600,50
12354666,0
12355666,10
12355933,50
12356000,0
12356900,10
12356900,61
12357000,60
12357100,70
12357166,0
12357266,10
12357400,60
12357500,60
12357600,70
12357666,0
12357766,10
12357866,60
12357966,60
12358033,70
12358100,0
12358166,10
12358266,65
12358366,67
12358433,0
12358500,10
12358566,60
12358633,60
12358666,70
12358733,0
12358800,10
12358866,60
12358933,60
12358966,70
12359033,0
12359100,10
12359166,60
12359233,60
12359266,70
12359333,0
12359400,10
12359466,60
12359533,60
12359566,70
12359633,0
12359700,10
12360300,60
12360433,64
12360500,0
12360900,0
12361433,10
12361566,40
12361600,0
12362200,10
12362400,50
12362466,0
12363466,10
12363733,50
12363800,0
12364700,10
12341300,61
12341400,60
12341500,70
12341566,0
12341666,10
12341800,60
12341900,60
12342000,70
12342066,0
12342166,10
12342266,60
12342366,60
12342433,70
12342500,0
12342566,10
12342666,65
12342766,67
12342833,0
12342900,10
12342966,60
12343033,60
12343066,70
12343133,0
12343200,10
12343266,60
12343333,60
12343366,70
12343433,0
12343500,10
12343566,60
12343633,60
12343666,70
12343733,0
12343800,10
12343866,60
12343933,60
12343966,70
12344033,0
12344100,10
12344700,60
12344833,64
12344900,0
12345300,0
12345833,10
12345966,40
12346000,0
12346600,10
12346800,50
12346866,0
12347866,10
12348133,50
12348200,0
12349100,10
14749133,10
14750700,10
14750699,10
14752266,10
14752265,10
14753832,10
14749133,10
14750700,10
