"{""type"":""handy""}",
10334466,100
10335466,100
10335466,100
10336466,100
10336466,100
10337466,100
10334466,100
10335466,100
10936366,51
10936900,13
10937400,51
10937399,51
10937933,13
10938433,51
10938432,51
10938966,13
10939466,51
10936366,51
10936900,13
10937400,51
11337700,12
11338066,63
11338166,33
11338533,12
11338533,12
11338899,63
11338999,33
11339366,12
11339366,12
11339732,63
11339832,33
11340199,12
11337700,12
11338066,63
11338166,33
11338533,12
11638833,77
11639033,18
11639200,76
11639366,24
11639533,94
11639700,27
11639866,77
11639866,77
11640066,18
11640233,76
11640399,24
11640566,94
11640733,27
11640899,77
11640899,77
11641099,18
11641266,76
11641432,24
11641599,94
11641766,27
11641932,77
11638833,77
11639033,18
11639200,76
11639366,24
11639533,94
11639700,27
11639866,77
