"{""type"":""handy""}",
20000,70
20100,59
20266,9
20333,16
20500,55
20600,68
20700,56
20866,11
20933,18
21166,58
21233,67
21300,59
21466,14
21533,23
21666,58
21733,69
21766,70
21866,59
22033,9
22100,16
22266,55
22366,68
22466,56
22633,11
22700,18
22933,58
23000,67
23066,59
23233,14
23300,23
23433,58
23500,69
24533,56
24699,43
24833,16
25133,68
25233,60
25266,56
25433,43
25566,16
25866,68
25966,60
25999,56
26166,43
26299,16
26599,68
26699,60
26733,56
26899,43
27033,16
27333,68
27433,60
27466,56
27633,43
27766,16
28066,68
28166,60
29199,41
29299,43
29365,51
29865,33
29965,39
29999,41
30099,43
30165,51
30665,33
30765,39
30799,41
30899,43
30965,51
31465,33
31565,39
31599,41
31699,43
31765,51
32265,33
32365,39
33399,28
33765,68
33999,11
34265,25
34299,28
34665,68
34899,11
35165,25
35199,28
35565,68
35799,11
36065,25
36099,28
36465,68
36699,11
36965,25
37999,38
38132,47
38265,59
38632,41
38765,20
38832,30
38865,38
38999,47
39132,59
39499,41
39632,20
39699,30
39732,38
39865,47
39999,59
40365,41
40499,20
40565,30
40599,38
40732,47
40865,59
41232,41
41365,20
41432,30
42465,31
42731,56
42965,47
43231,11
43331,23
43365,31
43631,56
43865,47
44131,11
44231,23
44265,31
44531,56
44765,47
45031,11
45131,23
45165,31
45431,56
45665,47
45931,11
46031,23
47065,35
47198,50
47331,65
47598,48
47798,14
47898,28
47931,35
48065,50
48198,65
48465,48
48665,14
48765,28
48798,35
48931,50
49065,65
49331,48
49531,14
49631,28
49665,35
49798,50
49931,65
50198,48
50398,14
50498,28
51531,65
52131,48
52164,57
52197,61
52231,65
52831,48
52864,57
52897,61
52931,65
53531,48
53564,57
53597,61
53631,65
54231,48
54264,57
54297,61
54331,65
54931,48
54964,57
54997,61
56031,43
56131,0
56364,8
56664,56
56697,43
56797,0
57031,8
57331,56
57364,43
57464,0
57697,8
57997,56
58031,43
58131,0
58364,8
58664,56
58697,43
58797,0
59031,8
59331,56
