"{""type"":""handy""}",
0,70
266,35
400,0
533,56
666,67
700,70
966,35
1100,0
1233,56
1366,67
1400,70
1666,35
1800,0
1933,56
2066,67
2100,70
2366,35
2500,0
2633,56
2766,67
2800,70
3066,35
3200,0
3333,56
3466,67
4500,71
4700,0
4933,62
4966,71
5166,0
5400,62
5433,71
5633,0
5866,62
5900,71
6100,0
6333,62
6366,71
6566,0
6800,62
6833,71
7033,0
7266,62
7300,71
7500,0
7733,62
8766,71
9166,0
9299,41
9432,65
9466,71
9866,0
9999,41
10132,65
10166,71
10566,0
10699,41
10832,65
10866,71
11266,0
11399,41
11532,65
11566,71
11966,0
12099,41
12232,65
13266,70
13399,0
13532,63
13566,70
13699,0
13832,63
13866,70
13999,0
14132,63
14166,70
14299,0
14432,63
14466,70
14599,0
14732,63
14766,70
14899,0
15032,63
15066,70
15199,0
15332,63
15366,70
15499,0
15632,63
15666,70
15799,0
15932,63
15966,70
16099,0
16232,63
16266,70
16399,0
16532,63
16566,70
16699,0
16832,63
17866,70
18032,53
18266,0
18466,62
18532,70
18566,70
18732,53
18966,0
19166,62
19232,70
19266,70
19432,53
19666,0
19866,62
19932,70
19966,70
20132,53
20366,0
20566,62
20632,70
20666,70
20832,53
21066,0
21266,62
21332,70
22366,71
22499,0
22632,58
22666,71
22799,0
22932,58
22966,71
23099,0
23232,58
23266,71
23399,0
23532,58
23566,71
23699,0
23832,58
23866,71
23999,0
24132,58
24166,71
24299,0
24432,58
24466,71
24599,0
24732,58
24766,71
24899,0
25032,58
25066,71
25199,0
25332,58
25366,71
25499,0
25632,58
25666,71
25799,0
25932,58
26966,72
27166,0
27232,11
27432,24
27532,36
27732,71
27766,72
27966,0
28032,11
28232,24
28332,36
28532,71
28566,72
28766,0
28832,11
29032,24
29132,36
29332,71
29366,72
29566,0
29632,11
29832,24
29932,36
30132,71
31166,68
31232,0
31299,16
31366,23
31499,66
31532,68
31599,0
31666,16
31732,23
31866,66
31899,68
31966,0
32032,16
32099,23
32232,66
32266,68
32332,0
32399,16
32466,23
32599,66
32632,68
32699,0
32766,16
32832,23
32966,66
32999,68
33066,0
33132,16
33199,23
33332,66
33366,68
33432,0
33499,16
33566,23
33699,66
33732,68
33799,0
33866,16
33932,23
34066,66
34099,68
34166,0
34232,16
34299,23
34432,66
34466,68
34532,0
34599,16
34666,23
34799,66
35832,0
35898,63
35965,52
36098,0
36165,10
36798,6
