"{""type"":""handy""}",
0,77
333,66
833,22
1000,13
1266,21
1800,68
1966,75
2000,77
2333,66
2833,22
3000,13
3266,21
3800,68
3966,75
5000,77
5033,74
5266,59
5533,15
5800,29
6033,74
6066,77
6100,74
6333,59
6600,15
6866,29
7100,74
7133,77
7166,74
7400,59
7666,15
7933,29
8166,74
9200,77
9466,16
9700,67
9733,77
10000,16
10233,67
10266,77
10533,16
10766,67
10800,77
11066,16
11300,67
11333,77
11600,16
11833,67
11866,77
12133,16
12366,67
13400,100
13633,91
13766,78
13866,74
14833,100
14866,100
15100,91
15233,78
15333,74
16300,100
16333,100
16566,91
16700,78
16800,74
17766,100
18800,100
18966,91
19100,74
19500,100
19533,100
19700,91
19833,74
20233,100
20266,100
20433,91
20566,74
20966,100
21000,100
21166,91
21300,74
21700,100
21733,100
21900,91
22033,74
22433,100
23466,100
23566,91
23632,74
23799,100
23832,100
23932,91
23999,74
24166,100
24199,100
24299,91
24366,74
24532,100
24566,100
24666,91
24732,74
24899,100
24932,100
25032,91
25099,74
25266,100
25299,100
25399,91
25466,74
25632,100
25666,100
25766,91
25832,74
25999,100
26032,100
26132,91
26199,74
26366,100
26399,100
26499,91
26566,74
26732,100
26766,100
26866,91
26932,74
27099,100
28132,100
28332,90
28732,43
28898,35
29265,44
29598,85
29865,100
29898,100
30098,90
30498,43
30665,35
31032,44
31365,85
31632,100
32665,100
32965,40
33065,34
33165,39
33398,89
33531,100
33565,100
33865,40
33965,34
34065,39
34298,89
34431,100
34465,100
34765,40
34865,34
34965,39
35198,89
35331,100
35365,100
35665,40
35765,34
35865,39
36098,89
36231,100
37265,100
37465,35
37531,47
37598,84
37665,100
37698,100
37898,35
37965,47
38031,84
38098,100
38131,100
38331,35
38398,47
38465,84
38531,100
38565,100
38765,35
38831,47
38898,84
38965,100
38998,100
39198,35
39265,47
39331,84
39398,100
39431,100
39631,35
39698,47
39765,84
39831,100
39865,100
40065,35
40131,47
40198,84
40265,100
40298,100
40498,35
40565,47
40631,84
40698,100
41731,100
42364,71
42697,29
43031,16
43397,31
44064,90
44264,100
44297,100
44931,71
45264,29
45597,16
45964,31
46631,90
46831,100
47864,100
48164,76
48364,26
48497,16
48630,25
49097,100
49130,100
49430,76
49630,26
49764,16
49897,25
50364,100
50397,100
50697,76
50897,26
51030,16
51164,25
51630,100
52664,100
52797,77
52930,27
52997,17
53097,31
53264,100
53297,100
53430,77
53564,27
53630,17
53730,31
53897,100
53930,100
54064,77
54197,27
54264,17
54364,31
54530,100
54564,100
54697,77
54830,27
54897,17
54997,31
55164,100
55197,100
55330,77
55464,27
55530,17
55630,31
55797,100
56830,100
56930,77
56963,49
57030,36
57130,50
57263,100
57363,77
57396,49
57463,38
57563,48
57696,100
57796,78
57830,54
57896,39
57996,50
58130,100
58230,77
58263,51
58330,38
58430,49
58563,100
58596,90
58630,49
58663,39
58796,100
58830,87
58863,46
58896,36
58930,46
59030,100
59063,89
59096,50
59130,39
59163,47
59263,100
59296,88
59363,37
59396,46
59463,89
59496,100
59530,86
59596,35
59630,45
59696,89
59730,100
59796,46
59830,37
59863,44
59930,89
59963,100
59996,91
60030,49
60063,37
60096,44
60163,90
60196,100
60230,89
60263,43
60296,34
60330,45
60396,90
60430,100
60463,90
60496,45
60530,36
60563,44
60630,90
60663,100
60696,91
60730,46
60763,33
60796,45
60863,89
60896,100
60930,90
60963,48
60996,35
61030,45
61096,89
61130,100
62163,100
62263,84
62329,45
62363,36
63296,68
63463,34
64196,36
64296,48
64363,83
64429,100
64529,84
64629,35
65529,65
65729,35
66463,37
66596,64
66663,74
66696,90
66796,24
66963,70
67029,59
67163,14
67229,29
67363,77
67429,67
67596,11
67696,25
67863,77
67963,61
68163,11
68296,28
68496,76
68629,60
68863,11
69029,27
69263,77
69429,68
69829,26
69963,19
81763,20
