"{""type"":""handy""}",
0,34
266,78
433,90
633,70
800,23
900,33
933,34
1200,78
1366,90
1566,70
1733,23
1833,33
1866,34
2133,78
2300,90
2500,70
2666,23
2766,33
2800,34
3066,78
3233,90
3433,70
3600,23
3700,33
4733,34
4866,77
5033,90
5133,63
5166,30
5233,10
5399,30
5433,34
5566,77
5733,90
5833,63
5866,30
5933,10
6099,30
6133,34
6266,77
6433,90
6533,63
6566,30
6633,10
6799,30
6833,34
6966,77
7133,90
7233,63
7266,30
7333,10
7499,30
7533,34
7666,77
7833,90
7933,63
7966,30
8033,10
8199,30
9233,36
9433,87
9499,72
9566,21
9599,7
9733,35
9899,87
9999,8
10099,32
10266,88
10333,13
10433,34
10466,62
10566,84
10633,15
10699,36
10733,71
10833,91
10899,13
10966,35
10999,66
11099,90
11166,11
11266,0
11699,31
12133,88
12299,73
12366,36
12466,8
12766,32
12899,65
13199,92
13266,74
13566,37
14566,63
15599,34
15865,78
16032,90
16232,70
16399,23
16499,33
16532,34
16799,78
16965,90
17165,70
17332,23
17432,33
17465,34
17732,78
17899,90
18099,70
18265,23
18365,33
18399,34
18665,78
18832,90
19032,70
19199,23
19299,33
20332,34
20465,77
20632,90
20732,63
20765,30
20832,10
20998,30
21032,34
21165,77
21332,90
21432,63
21465,30
21532,10
21698,30
21732,34
21865,77
22032,90
22132,63
22165,30
22232,10
22398,30
22432,34
22565,77
22732,90
22832,63
22865,30
22932,10
23098,30
23132,34
23265,77
23432,90
23532,63
23565,30
23632,10
23798,30
24832,36
25032,87
25098,72
25165,21
25198,7
25332,35
25498,87
25598,8
25698,32
25865,88
25932,13
26032,34
26065,62
26165,84
26232,15
26298,36
26332,71
26432,91
26498,13
26565,35
26598,66
26698,90
26765,11
26865,0
27298,31
27732,88
27898,73
27965,36
28065,8
28365,32
28498,65
28798,92
28865,74
29165,37
30165,63
31198,34
31464,78
31631,90
31831,70
31998,23
32098,33
32131,34
32398,78
32564,90
32764,70
32931,23
33031,33
33064,34
33331,78
33498,90
33698,70
33864,23
33964,33
33998,34
34264,78
34431,90
34631,70
34798,23
34898,33
35931,34
36064,77
36231,90
36331,63
36364,30
36431,10
36597,30
36631,34
36764,77
36931,90
37031,63
37064,30
37131,10
37297,30
37331,34
37464,77
37631,90
37731,63
37764,30
37831,10
37997,30
38031,34
38164,77
38331,90
38431,63
38464,30
38531,10
38697,30
38731,34
38864,77
39031,90
39131,63
39164,30
39231,10
39397,30
40431,36
40631,87
40697,72
40764,21
40797,7
40931,35
41097,87
41197,8
41297,32
41464,88
41531,13
41631,34
41664,62
41764,84
41831,15
41897,36
41931,71
42031,91
42097,13
42164,35
42197,66
42297,90
42364,11
42464,0
42897,31
43331,88
43497,73
43564,36
43664,8
43964,32
44097,65
44397,92
44464,74
44764,37
45764,63
