"{""type"":""handy""}",
0,64
266,18
466,6
600,8
733,21
933,40
1033,72
1166,91
1400,86
1533,70
1633,67
1666,64
1933,18
2133,6
2266,8
2400,21
2600,40
2700,72
2833,91
3066,86
3200,70
3300,67
4333,64
4599,18
4799,6
4933,8
5066,21
5266,40
5366,72
5499,91
5733,86
5866,70
5966,67
5999,64
6266,18
6466,6
6599,8
6733,21
6933,40
7033,72
7166,91
7399,86
7533,70
7633,67
8666,63
8766,18
8866,6
8999,67
9032,76
9066,63
9166,18
9266,6
9399,67
9432,76
9466,63
9566,18
9666,6
9799,67
9832,76
9866,63
9966,18
10066,6
10199,67
10232,76
10266,63
10366,18
10466,6
10599,67
10632,76
10666,63
10766,18
10866,6
10999,67
11032,76
11066,63
11166,18
11266,6
11399,67
11432,76
11466,63
11566,18
11666,6
11799,67
11832,76
12866,76
12999,18
13099,8
13232,64
13266,76
13399,18
13499,8
13632,64
13666,76
13799,18
13899,8
14032,64
14066,76
14199,18
14299,8
14432,64
14466,76
14599,18
14699,8
14832,64
14866,76
14999,18
15099,8
15232,64
15266,76
15399,18
15499,8
15632,64
15666,76
15799,18
15899,8
16032,64
17066,72
17166,16
17266,6
17366,56
17432,65
17466,72
17566,16
17666,6
17766,56
17832,65
17866,72
17966,16
18066,6
18166,56
18232,65
18266,72
18366,16
18466,6
18566,56
18632,65
18666,72
18766,16
18866,6
18966,56
19032,65
19066,72
19166,16
19266,6
19366,56
19432,65
19466,72
19566,16
19666,6
19766,56
19832,65
19866,72
19966,16
20066,6
20166,56
20232,65
21266,71
21366,16
21432,6
21532,60
21566,68
21599,71
21699,16
21766,6
21866,60
21899,68
21932,71
22032,16
22099,6
22199,60
22232,68
22266,71
22366,16
22432,6
22532,60
22566,68
22599,71
22699,16
22766,6
22866,60
22899,68
22932,71
23032,16
23099,6
23199,60
23232,68
23266,71
23366,16
23432,6
23532,60
23566,68
23599,71
23699,16
23766,6
23866,60
23899,68
23932,71
24032,16
24099,6
24199,60
24232,68
24266,71
24366,16
24432,6
24532,60
24566,68
25599,72
25732,18
25832,8
25932,61
25999,71
26032,72
26165,18
26265,8
26365,61
26432,71
26465,72
26599,18
26699,8
26799,61
26865,71
26899,72
27032,18
27132,8
27232,61
27299,71
27332,72
27465,18
27565,8
27665,61
27732,71
27765,72
27899,18
27999,8
28099,61
28165,71
28199,72
28332,18
28432,8
28532,61
28599,71
29632,72
29765,18
29865,8
29965,61
30032,71
30065,72
30198,18
30298,8
30398,60
30465,71
30498,71
30632,21
30732,8
30832,57
30898,71
30932,72
31065,18
31232,8
31332,36
31398,41
31598,26
31832,18
32032,40
32232,27
32432,21
32465,72
32598,18
32698,8
32798,61
32865,71
32898,72
33032,18
33132,8
33232,60
33298,71
33332,71
33465,21
33565,8
33665,57
33732,71
33765,72
33898,18
34065,8
34165,36
34232,41
34432,26
34665,18
34865,40
35065,27
35265,21
