"{""type"":""handy""}",
0,100
133,84
233,78
300,100
500,100
633,82
766,77
1000,62
1133,62
1233,83
1466,12
1500,100
1633,84
1733,78
1800,100
2000,100
2133,82
2266,77
2500,62
2633,62
2733,83
2966,12
4000,0
4166,11
4366,37
4466,6
4500,0
4666,11
4866,37
4966,6
5000,0
5166,11
5366,37
5466,6
5500,0
5666,11
5866,37
5966,6
6000,0
6166,11
6366,37
6466,6
6500,0
6666,11
6866,37
6966,6
8000,0
8066,18
8166,12
8233,0
8300,18
8433,13
8466,6
8500,0
8566,18
8666,12
8733,0
8800,18
8933,13
8966,6
9000,0
9066,18
9166,12
9233,0
9300,18
9433,13
9466,6
9500,0
9566,18
9666,12
9733,0
9800,18
9933,13
9966,6
10000,0
10066,18
10166,12
10233,0
10300,18
10433,13
10466,6
10500,0
10566,18
10666,12
10733,0
10800,18
10933,13
10966,6
12000,0
12066,12
12166,6
13033,3
13266,33
13400,3
13500,0
13566,15
13666,5
14533,3
14766,31
14900,3
15000,0
15066,15
15166,6
16000,3
16166,75
16200,100
16366,100
17400,3
17600,8
18100,35
18200,30
18300,16
18366,5
18400,3
18600,8
19100,35
19200,30
19300,16
19366,5
19400,3
19600,8
20100,35
20200,30
20300,16
20366,5
21400,100
21533,84
21633,78
21700,88
21900,100
22033,86
22166,84
22400,65
22533,64
22633,82
22866,26
22900,100
23033,84
23133,78
23200,88
23400,100
23533,86
23666,84
23900,65
24033,64
24133,82
24366,26
25400,18
25566,38
25766,77
25866,30
25900,18
26066,38
26266,77
26366,30
26400,18
26566,38
26766,77
26866,30
26900,18
27066,38
27266,77
27366,30
27400,18
27566,38
27766,77
27866,30
27900,18
28066,38
28266,77
28366,30
29400,8
29566,64
29633,23
29666,18
29700,23
29800,55
29833,60
29866,41
29900,8
30066,64
30133,23
30166,18
30200,23
30300,55
30333,60
30366,41
30400,8
30566,64
30633,23
30666,18
30700,23
30800,55
30833,60
30866,41
30900,8
31066,64
31133,23
31166,18
31200,23
31300,55
31333,60
31366,41
31400,8
31566,64
31633,23
31666,18
31700,23
31800,55
31833,60
31866,41
31900,8
32066,64
32133,23
32166,18
32200,23
32300,55
32333,60
32366,41
33400,5
33566,34
33700,38
33766,34
33900,16
34000,15
34433,18
34666,63
34800,15
34900,6
34933,8
35066,35
35200,37
35233,36
35400,16
35500,14
35700,14
35933,16
36166,64
36300,15
36400,6
36566,34
36700,37
36900,15
37000,13
37300,13
37400,12
37533,78
37566,100
37666,100
38700,13
38900,18
39366,50
39433,48
39533,38
39666,21
39700,13
39900,18
40366,50
40433,48
40533,38
40666,21
40700,13
40900,18
41366,50
41433,48
41533,38
41666,21
42700,100
42866,100
42966,83
43033,76
43133,100
43500,100
43766,83
43966,87
44000,78
44166,72
44200,100
44366,100
44466,83
44533,76
44633,100
45000,100
45266,83
45466,87
45500,78
45666,72
46700,71
46966,88
47033,100
47166,76
47200,71
47466,88
47533,100
47666,76
47700,71
47966,88
48033,100
48166,76
48200,71
48466,88
48533,100
48666,76
48700,71
48966,88
49033,100
49166,76
49200,71
49466,88
49533,100
49666,76
50700,71
50966,74
51200,36
51466,35
51600,50
51700,36
51966,33
52166,16
52200,71
52466,74
52700,36
52966,35
53100,50
53200,36
53466,33
53666,16
54700,8
54800,31
54833,33
54933,11
55000,28
55066,33
55166,18
55200,8
55300,31
55333,33
55433,11
55500,28
55566,33
55666,18
55700,8
55800,31
55833,33
55933,11
56000,28
56066,33
56166,18
56200,8
56300,31
56333,33
56433,11
56500,28
56566,33
56666,18
56700,8
56800,31
56833,33
56933,11
57000,28
57066,33
57166,18
57200,8
57300,31
57333,33
57433,11
57500,28
57566,33
57666,18
58700,11
58833,8
59800,21
60033,41
60100,37
60200,11
60400,11
60633,16
61300,24
61533,41
61700,11
61900,11
62166,15
62800,18
62900,28
63133,77
63166,100
63266,100
64300,21
64433,23
64566,31
64800,58
65000,83
65033,100
65233,100
65266,21
65400,23
65533,31
65766,58
65966,83
66000,100
66200,100
66233,21
66366,23
66500,31
66733,58
66933,83
66966,100
67166,100
67200,21
67333,23
67466,31
67700,58
67900,83
67933,100
68133,100
