"{""type"":""handy""}",
0,78
100,37
166,51
1666,51
1733,51
1800,76
1833,100
1900,100
1933,78
2033,37
2100,51
3600,51
3666,51
3733,76
3766,100
3833,100
4866,91
4966,90
5032,0
5199,8
5299,78
5332,91
5432,90
5499,0
5666,8
5766,78
5799,91
5899,90
5966,0
6132,8
6232,78
6266,91
6366,90
6432,0
6599,8
6699,78
6732,91
6832,90
6899,0
7066,8
7166,78
7199,91
7299,90
7366,0
7532,8
7632,78
7666,91
7766,90
7832,0
7999,8
8099,78
9132,35
9198,47
9265,82
9332,91
9398,0
9598,25
9632,35
9698,47
9765,82
9832,91
9898,0
10098,25
10132,35
10198,47
10265,82
10332,91
10398,0
10598,25
10632,35
10698,47
10765,82
10832,91
10898,0
11098,25
11132,35
11198,47
11265,82
11332,91
11398,0
11598,25
11632,35
11698,47
11765,82
11832,91
11898,0
12098,25
13132,63
13198,36
13398,76
13432,68
13465,63
13532,36
13732,76
13765,68
13798,63
13865,36
14065,76
14098,68
14132,63
14198,36
14398,76
14432,68
14465,63
14532,36
14732,76
14765,68
14798,63
14865,36
15065,76
15098,68
15132,63
15198,36
15398,76
15432,68
15465,63
15532,36
15732,76
15765,68
15798,63
15865,36
16065,76
16098,68
16132,63
16198,36
16398,76
16432,68
17465,36
17665,62
18865,64
19031,75
19065,100
19131,100
19165,36
19365,62
20565,64
20731,75
20765,100
20831,100
21865,85
21965,95
22031,100
22165,82
22231,0
22298,0
22465,76
22498,85
22598,95
22665,100
22798,82
22865,0
22931,0
23098,76
23131,85
23231,95
23298,100
23431,82
23498,0
23565,0
23731,76
23765,85
23865,95
23931,100
24065,82
24131,0
24198,0
24365,76
24398,85
24498,95
24565,100
24698,82
24765,0
24831,0
24998,76
26031,0
26164,8
26231,27
26331,84
26464,65
26531,21
26564,0
26697,8
26764,27
26864,84
26997,65
27064,21
27097,0
27231,8
27297,27
27397,84
27531,65
27597,21
27631,0
27764,8
27831,27
27931,84
28064,65
28131,21
28164,0
28297,8
28364,27
28464,84
28597,65
28664,21
28697,0
28831,8
28897,27
28997,84
29131,65
29197,21
30231,40
30297,0
30397,11
30631,16
30697,0
30764,0
30797,40
30864,0
30964,11
31197,16
31264,0
31331,0
31364,40
31431,0
31531,11
31764,16
31831,0
31897,0
31931,40
31997,0
32097,11
32331,16
32397,0
32464,0
32497,40
32564,0
32664,11
32897,16
32964,0
33031,0
33064,40
33131,0
33231,11
33464,16
33531,0
33597,0
34631,53
34731,35
34797,65
34931,72
34964,61
34997,53
35097,35
35164,65
35297,72
35331,61
35364,53
35464,35
35531,65
35664,72
35697,61
35731,53
35831,35
35897,65
36031,72
36064,61
36097,53
36197,35
36264,65
36397,72
36431,61
36464,53
36564,35
36631,65
36764,72
36797,61
36831,53
36931,35
36997,65
37131,72
37164,61
37197,53
37297,35
37364,65
37497,72
37531,61
37564,53
37664,35
37731,65
37864,72
37897,61
38931,23
38997,15
39131,21
40064,16
40164,31
40231,73
40264,78
40297,100
40464,100
40497,23
40564,15
40697,21
41631,16
41731,31
41797,73
41831,78
41864,100
42031,100
43064,100
43197,93
43297,100
43397,90
43497,100
43597,90
43697,100
43797,92
43897,100
43964,74
44064,25
44264,27
44297,100
44430,93
44530,100
44630,90
44730,100
44830,90
44930,100
45030,92
45130,100
45197,74
45297,25
45497,27
45530,100
45664,93
45764,100
45864,90
45964,100
46064,90
46164,100
46264,92
46364,100
46430,74
46530,25
46730,27
47764,26
47864,34
48030,81
48097,65
48130,30
48230,41
48397,81
48464,67
48530,30
48630,38
48730,80
48797,70
48830,26
48930,34
49097,81
49164,65
49197,30
49297,41
49464,81
49530,67
49597,30
49697,38
49797,80
49864,70
49897,26
49997,34
50164,81
50230,65
50264,30
50364,41
50530,81
50597,67
50664,30
50764,38
50864,80
50930,70
51964,71
51997,70
52097,0
52164,12
52330,63
52364,71
52397,70
52497,0
52564,12
52730,63
52764,71
52797,70
52897,0
52964,12
53130,63
53164,71
53197,70
53297,0
53364,12
53530,63
53564,71
53597,70
53697,0
53764,12
53930,63
53964,71
53997,70
54097,0
54164,12
54330,63
54364,71
54397,70
54497,0
54564,12
54730,63
54764,71
54797,70
54897,0
54964,12
55130,63
56164,95
56264,100
56330,100
56430,74
56664,100
56830,100
56897,72
57097,87
57130,95
57230,100
57297,100
57397,74
57630,100
57797,100
57864,72
58064,87
58097,95
58197,100
58264,100
58364,74
58597,100
58764,100
58830,72
59030,87
59064,95
59164,100
59230,100
59330,74
59564,100
59730,100
59797,72
59997,87
61030,100
61096,38
61496,38
61530,0
62330,40
62363,0
63096,35
63130,100
63196,38
63596,38
63630,0
64430,40
64463,0
65196,35
66230,40
66396,50
66496,3
66730,27
66763,40
66930,50
67030,3
67263,27
67296,40
67463,50
67563,3
67796,27
67830,40
67996,50
68096,3
68330,27
68363,40
68530,50
68630,3
68863,27
68896,40
69063,50
69163,3
69396,27
70430,61
70496,0
70630,55
70796,65
70830,61
70896,0
71030,55
71196,65
71230,61
71296,0
71430,55
71596,65
71630,61
71696,0
71830,55
71996,65
72030,61
72096,0
72230,55
72396,65
72430,61
72496,0
72630,55
72796,65
72830,61
72896,0
73030,55
73196,65
73230,61
73296,0
73430,55
73596,65
74630,71
74696,64
74830,8
74996,21
75096,55
75163,65
75196,71
75263,64
75396,8
75563,21
75663,55
75730,65
75763,71
75830,64
75963,8
76130,21
76230,55
76296,65
76330,71
76396,64
76530,8
76696,21
76796,55
76863,65
76896,71
76963,64
77096,8
77263,21
77363,55
77430,65
77463,71
77530,64
77663,8
77830,21
77930,55
77996,65
79030,41
79163,74
79196,100
79663,100
79830,43
79930,74
79963,100
80463,100
80563,43
80696,72
80730,100
81230,100
81330,41
81463,72
81496,100
81963,100
82030,57
83063,100
83096,100
83196,62
83329,47
83396,100
83663,100
83729,57
83863,46
83929,100
84063,100
84096,100
84129,100
84229,62
84363,47
84429,100
84696,100
84763,57
84896,46
84963,100
85096,100
85129,100
85163,100
85263,62
85396,47
85463,100
85729,100
85796,57
85929,46
85996,100
86129,100
87163,46
87396,95
87463,100
87563,55
87629,44
87663,47
87696,46
87929,95
87996,100
88096,55
88163,44
88196,47
88229,46
88463,95
88529,100
88629,55
