"{""type"":""handy""}",
0,60
366,78
566,40
1266,60
1300,60
1666,78
1866,40
2566,60
2600,60
2966,78
3166,40
3866,60
4900,56
5100,74
5266,27
5633,56
5666,56
5866,74
6033,27
6400,56
6433,56
6633,74
6800,27
7166,56
7200,56
7400,74
7566,27
7933,56
8966,66
9232,17
9532,65
9832,30
10099,66
10132,66
10399,17
10699,65
10999,30
11266,66
11299,66
11566,17
11866,65
12166,30
12432,66
13466,80
13666,67
13766,100
14066,80
14099,80
14299,67
14399,100
14699,80
14732,80
14932,67
15032,100
15332,80
15366,80
15566,67
15666,100
15966,80
15999,80
16199,67
16299,100
16599,80
17632,70
17698,98
17932,70
17965,70
18032,98
18265,70
18298,70
18365,98
18598,70
18632,70
18698,98
18932,70
18965,70
19032,98
19265,70
19298,70
19365,98
19598,70
19632,70
19698,98
19932,70
19965,70
20032,98
20265,70
20298,70
20365,98
20598,70
20632,70
20698,98
20932,70
21965,65
22165,8
22365,65
22398,65
22598,8
22798,65
22831,65
23031,8
23231,65
23265,65
23465,8
23665,65
23698,65
23898,8
24098,65
24131,65
24331,8
24531,65
24565,65
24765,8
24965,65
25998,65
26098,17
26231,65
26264,65
26364,17
26498,65
26531,65
26631,17
26764,65
26798,65
26898,17
27031,65
27064,65
27164,17
27298,65
27331,65
27431,17
27564,65
27598,65
27698,17
27831,65
27864,65
27964,17
28098,65
28131,65
28231,17
28364,65
28398,65
28498,17
28631,65
28664,65
28764,17
28898,65
28931,65
29031,17
29164,65
30198,55
30398,70
31031,14
31064,55
31264,70
31898,14
31931,55
32131,70
32764,14
32798,55
32998,70
33631,14
34664,15
34730,45
34797,15
34830,15
34897,45
34964,15
34997,15
35064,45
35130,15
35164,15
35230,45
35297,15
35330,15
35397,45
35464,15
35497,15
35564,45
35630,15
35664,15
35730,45
35797,15
35830,15
35897,45
35964,15
35997,15
36064,45
36130,15
36164,15
36230,45
36297,15
36330,15
36397,45
36464,15
36497,15
36564,45
36630,15
36664,15
36730,45
36797,15
36830,15
36897,45
36964,15
36997,15
37064,45
37130,15
37164,15
37230,45
37297,15
37330,15
37397,45
37464,15
37497,15
37564,45
37630,15
37664,15
37730,45
37797,15
38830,56
38896,71
39030,21
39230,54
39296,71
39430,23
39630,52
39696,73
39830,18
40030,54
40096,73
40230,20
40430,53
40496,71
40630,23
40830,50
40896,71
41030,16
41230,50
41296,72
41430,16
41763,53
41863,72
42130,17
42896,56
42996,72
43263,17
44230,67
45263,67
47029,68
47063,67
48829,68
