"{""type"":""handy""}",
0,33
100,37
400,67
500,72
600,67
900,38
1000,34
1100,38
1400,67
1500,72
1600,67
1866,40
1966,33
2000,33
2100,37
2400,67
2500,72
2600,67
2900,38
3000,34
3100,38
3400,67
3500,72
3600,67
3866,40
3966,33
5000,73
5133,76
5400,92
5500,95
6000,73
6100,75
6400,91
6500,94
6600,92
6933,73
6966,73
7100,76
7366,92
7466,95
7966,73
8066,75
8366,91
8466,94
8566,92
8900,73
9933,72
10433,95
10899,88
10933,72
11433,95
11899,88
11933,72
12433,95
12899,88
13933,88
14033,83
14233,58
14333,52
14466,58
14699,87
14766,92
14866,85
15099,58
15199,52
15299,58
15533,87
15566,88
15666,83
15866,58
15966,52
16099,58
16333,87
16399,92
16499,85
16733,58
16833,52
16933,58
17166,87
18199,90
18299,85
18532,60
18599,54
18699,60
18965,90
19032,93
19132,88
19365,61
19465,54
19565,60
19765,85
19865,91
19965,85
20165,58
20265,53
20365,60
20599,87
20699,94
20799,88
21032,58
21132,52
21232,58
21432,86
21532,93
21632,87
21865,57
21965,51
22065,51
22265,57
22599,88
22632,100
22765,100
22832,23
22899,24
23632,100
23699,100
23765,18
23832,21
24832,100
24899,100
25932,63
26032,58
26332,18
26432,12
26565,21
26765,55
26865,62
26898,63
26998,58
27298,18
27398,12
27532,21
27732,55
27832,62
27865,63
27965,58
28265,18
28365,12
28498,21
28698,55
28798,62
28832,63
28932,58
29232,18
29332,12
29465,21
29665,55
29765,62
30798,62
30898,57
31198,18
31298,12
31398,18
31664,55
31764,62
31864,54
32064,23
32164,14
32264,21
32498,55
32598,63
32698,53
32831,25
32931,15
33031,26
33164,53
33264,63
33364,50
33431,26
33498,14
33598,24
33731,53
33831,63
33931,52
34031,23
34098,14
34198,16
34364,26
34698,58
34798,63
34898,51
34998,24
35064,13
35198,15
35331,18
35498,31
35664,56
35764,63
35864,54
35998,18
36064,12
36231,13
36398,23
36631,57
36731,64
36898,58
37298,18
37431,13
37631,16
37798,26
38164,58
38264,63
38431,57
38831,21
38964,16
39131,25
39664,64
40698,100
40864,98
41231,86
41398,84
41564,85
41998,98
42164,100
42198,100
42364,98
42731,86
42898,84
43064,85
43498,98
43664,100
44698,72
44831,67
45231,35
45364,30
45498,35
45898,65
46031,71
46164,65
46564,27
46698,21
46831,27
47231,65
47331,71
47364,72
47498,67
47898,35
48031,30
48164,35
48564,65
48698,71
48831,65
49231,27
49364,21
49498,27
49898,65
49998,71
51031,76
51131,70
51331,24
51431,15
51531,21
51731,64
51797,73
51831,76
51931,70
52131,24
52231,15
52331,21
52531,64
52597,73
52631,76
52731,70
52931,24
53031,15
53131,21
53331,64
53397,73
53431,76
53531,70
53731,24
53831,15
53931,21
54131,64
54197,73
55231,76
55331,67
55531,24
55631,16
55731,24
55964,65
56064,75
56164,65
56364,26
56464,18
56564,25
56797,67
56897,76
56997,62
57131,24
57197,15
57297,23
57531,67
57631,77
57697,65
57864,14
58064,16
58231,25
58631,82
58731,86
58764,100
58931,100
58997,24
59597,100
59664,21
60431,100
60497,21
60564,21
62031,100
62097,100
63131,37
63264,44
63431,70
63531,77
63664,70
64031,40
64131,34
64231,40
64531,71
64631,77
64731,71
64997,41
65097,37
65131,37
65264,44
65431,70
65531,77
65664,70
66031,40
66131,34
66231,40
66531,71
66631,77
66731,71
66997,41
67097,37
68131,78
68497,95
68597,91
68831,44
68931,37
69031,44
69197,84
69297,93
69731,78
69764,78
70131,95
70231,91
70464,44
70564,37
70664,44
70831,84
70931,93
71364,78
72397,77
72797,94
72897,88
73097,47
73197,36
73297,46
73463,85
73563,94
73963,77
74097,81
74330,94
74463,87
74763,41
74863,35
74963,44
75263,88
75363,94
75463,86
75597,46
75697,36
75797,43
76030,82
76063,100
76197,100
77230,100
77330,100
77396,21
77463,21
77963,100
78030,100
78096,33
78163,31
79030,100
79096,100
79163,35
79230,31
79296,31
79330,100
79430,100
79496,21
79563,21
80063,100
80130,100
80196,33
80263,31
81130,100
81196,100
81263,35
81330,31
81396,31
82430,72
82530,65
82830,23
82930,15
83030,21
83330,63
83430,71
83530,65
83830,21
83930,14
84030,21
84296,64
84396,72
84430,72
84530,65
84830,23
84930,15
85030,21
85330,63
85430,71
85530,65
85830,21
85930,14
86030,21
86296,64
86396,72
87430,71
87530,67
87830,21
87930,15
88030,21
88296,65
88363,71
88396,71
88496,67
88796,21
88896,15
88996,21
89263,65
89330,71
89363,71
89463,67
89763,21
89863,15
89963,21
90230,65
90296,71
90330,71
90430,67
90730,21
90830,15
90930,21
91196,65
91263,71
92296,72
92362,65
92562,23
92629,15
92729,25
92829,61
92929,72
92962,72
93029,65
93229,23
93296,15
93396,25
93496,61
93596,72
93629,72
93696,65
93896,23
93962,15
94062,25
94162,61
94262,72
94296,72
94362,65
94562,23
94629,15
94729,25
94829,61
94929,72
94962,72
95029,65
95229,23
95296,15
95396,25
95496,61
95596,72
96629,71
96729,61
96862,26
96962,15
97062,26
97229,65
97262,71
97362,61
97495,26
97595,15
97695,26
97862,65
97895,71
97995,61
98129,26
98229,15
98329,26
98495,65
98529,71
98629,61
98762,26
98862,15
98962,26
99129,65
99162,71
99262,61
99395,26
99495,15
99595,26
99762,65
100795,72
100895,62
101061,23
101128,16
101228,24
101395,65
101461,72
101561,65
101728,21
101795,14
101961,16
102195,23
102661,83
102728,88
102761,100
102795,100
102861,21
102928,21
103561,100
103628,18
103695,16
104095,100
104161,18
105495,100
105561,100
106595,92
106695,83
106895,38
106995,27
107095,37
107295,82
107361,90
107461,80
107661,26
107761,12
107861,24
108061,80
108128,90
108295,88
108395,80
108661,35
108761,27
108861,37
109128,91
109228,82
109495,27
109595,16
109728,18
109895,28
110028,46
110195,85
110295,92
111328,72
111428,64
111628,27
111728,21
111828,28
111994,64
112094,72
112194,65
112361,28
112461,18
112561,27
112694,64
112761,70
112794,72
112894,64
113094,27
113194,21
113294,28
113461,64
113561,72
113661,65
113828,28
113928,18
114028,27
114161,64
114228,70
114261,72
114361,64
114561,27
114661,21
114761,28
114928,64
115028,72
115128,65
115294,28
115394,18
115494,27
115628,64
115694,70
116728,72
116828,65
117028,26
117128,18
117228,27
117394,64
117494,72
117594,65
117761,31
117861,21
117961,28
118128,65
118194,71
118294,65
118494,27
118594,18
118761,21
118994,37
119261,83
119328,90
119361,100
119428,100
119461,72
119561,65
119761,26
119861,18
119961,27
120128,64
120228,72
120328,65
120494,31
120594,21
120694,28
120861,65
120928,71
121028,65
121228,27
121328,18
121494,21
121728,37
121994,83
122061,90
122094,100
122161,100
123194,100
123260,100
123327,24
123394,23
123927,100
123994,100
124060,21
124127,21
124927,100
124994,100
125060,31
125127,30
125660,100
125727,100
125760,100
125827,100
125894,24
125960,23
126494,100
126560,100
126627,21
126694,21
127494,100
127560,100
127627,31
127694,30
128227,100
128294,100
129327,71
129460,65
129860,21
129993,16
130127,21
130460,63
130593,71
130627,71
130760,65
131160,21
131293,16
131427,21
131760,63
131893,71
131927,71
132060,65
132460,21
132593,16
132727,21
133060,63
133193,71
134227,72
134293,65
134460,25
134560,15
134693,28
134827,68
134860,72
134927,65
135093,25
135193,15
135327,28
135460,68
135493,72
135560,65
135727,25
135827,15
135960,28
136093,68
136127,72
136193,65
136360,25
136460,15
136593,28
136727,68
136760,72
136827,65
136993,25
137093,15
137227,28
137360,68
138393,71
138493,61
138626,24
138726,15
138859,26
