"{""type"":""handy""}",
0,72
466,50
900,72
933,72
1400,50
1833,72
1866,72
2333,50
2766,72
2800,72
3266,50
3700,72
4733,71
5366,100
5999,100
6266,84
6566,100
6799,100
7633,71
7766,60
7966,23
8099,14
8233,24
8399,58
8499,65
9533,64
9666,53
9866,18
9999,8
10199,18
10333,52
10433,63
10466,64
10599,53
10799,18
10933,8
11133,18
11266,52
11366,63
11399,64
11533,53
11733,18
11866,8
12066,18
12199,52
12299,63
12333,64
12466,53
12666,18
12799,8
12999,18
13133,52
13233,63
14266,65
14366,53
14499,18
14566,8
14666,21
14766,53
14832,65
14866,65
14966,53
15099,18
15166,8
15266,21
15366,53
15432,65
15466,65
15566,53
15699,18
15766,8
15866,21
15966,53
16032,65
16066,65
16166,53
16299,18
16366,8
16466,21
16566,53
16632,65
16666,65
16766,53
16899,18
16966,8
17066,21
17166,53
17232,65
18266,14
18366,8
18399,38
18466,43
18566,53
18632,28
18666,14
18766,8
18799,38
18866,43
18966,53
19032,28
19066,14
19166,8
19199,38
19266,43
19366,53
19432,28
19466,14
19566,8
19599,38
19666,43
19766,53
19832,28
19866,14
19966,8
19999,38
20066,43
20166,53
20232,28
20266,14
20366,8
20399,38
20466,43
20566,53
20632,28
20666,14
20766,8
20799,38
20866,43
20966,53
21032,28
21066,14
21166,8
21199,38
21266,43
21366,53
21432,28
22466,13
22599,8
22932,8
23032,38
23132,8
23266,16
23366,38
23466,8
23532,14
23666,43
23766,47
23832,16
23932,8
23966,13
24099,8
24432,8
24532,38
24632,8
24766,16
24866,38
24966,8
25032,14
25166,43
25266,47
25332,16
25432,8
26466,8
26999,8
27099,35
27199,14
27366,8
27566,12
27666,33
27766,15
27932,8
28132,14
28232,35
28366,11
29099,12
29132,8
29666,8
29766,35
29866,14
30032,8
30232,12
30332,33
30432,15
30599,8
30799,14
30899,35
31032,11
31766,12
32799,11
32932,24
33265,77
33632,85
33732,100
33832,100
33865,11
33999,24
34332,77
34699,85
34799,100
34899,100
34932,11
35065,24
35399,77
35765,85
35865,100
35965,100
