"{""type"":""handy""}",
0,-1
1133,-1
1166,-1
2300,-1
2333,-1
3466,-1
4500,0
4933,65
5333,2
5366,0
5800,65
6200,2
6233,0
6666,65
7066,2
7100,0
7533,65
7933,2
8966,100
9299,100
9599,87
9799,84
9932,62
10132,71
10632,72
10666,100
10999,100
11299,87
11499,84
11632,62
11832,71
12332,72
13366,72
13599,48
13766,63
13999,70
14032,72
14266,48
14432,63
14666,70
14699,72
14932,48
15099,63
15332,70
15366,72
15599,48
15766,63
15999,70
16032,72
16266,48
16432,63
16666,70
17699,71
17765,66
17865,44
17999,62
18099,68
18132,71
18199,66
18299,44
18432,62
18532,68
18565,71
18632,66
18732,44
18865,62
18965,68
18999,71
19065,66
19165,44
19299,62
19399,68
19432,71
19499,66
19599,44
19732,62
19832,68
19865,71
19932,66
20032,44
20165,62
20265,68
20299,71
20365,66
20465,44
20599,62
20699,68
21732,64
22032,20
22265,5
22398,15
22532,64
22565,64
22865,20
23098,5
23232,15
23365,64
23398,64
23698,20
23932,5
24065,15
24198,64
24232,64
24532,20
24765,5
24898,15
25032,64
26065,64
26165,53
26265,14
26431,0
26565,12
26631,64
26665,64
26765,53
26865,14
27031,0
27165,12
27231,64
27265,64
27365,53
27465,14
27631,0
27765,12
27831,64
27865,64
27965,53
28065,14
28231,0
28365,12
28431,64
28465,64
28565,53
28665,14
28831,0
28965,12
29031,64
30065,37
30331,70
30631,38
30665,37
30931,70
31231,38
31265,37
31531,70
31831,38
31865,37
32131,70
32431,38
32465,37
32731,70
33031,38
34065,94
34198,100
34365,86
34431,68
34598,94
34631,94
34765,100
34931,86
34998,68
35165,94
35198,94
35331,100
35498,86
35565,68
35731,94
35765,94
35898,100
36065,86
36131,68
36298,94
36331,94
36465,100
36631,86
36698,68
36865,94
36898,94
37031,100
37198,86
37265,68
37431,94
38465,36
38531,41
38698,70
38965,38
39065,34
39165,41
39331,70
39598,38
39698,32
39965,71
40165,41
40265,34
40465,70
40598,42
40698,35
40898,72
40998,48
41065,0
42131,68
42198,60
42265,100
42731,100
42798,86
42898,10
42931,0
44998,100
46031,-1
47364,-1
47397,-1
48731,-1
48764,-1
50097,-1
51131,-1
52697,-1
52731,-1
54297,-1
55331,61
55864,13
56364,61
56397,61
56931,13
57431,61
57464,61
57997,13
58497,61
59531,7
59897,63
59997,33
60364,7
60397,7
60764,63
60864,33
61231,7
61264,7
61631,63
61731,33
62097,7
62131,7
62497,63
62597,33
62964,7
63997,77
64197,18
64363,76
64530,24
64697,94
64863,27
65030,77
65063,77
65263,18
65430,76
65597,24
65763,94
65930,27
66097,77
66130,77
66330,18
66497,76
66663,24
66830,94
66997,27
67163,77
68197,100
68230,95
68797,88
68930,88
69230,100
69463,85
69630,65
69730,65
70897,100
71130,100
71163,100
71197,95
71763,88
71897,88
72197,100
72430,85
72597,65
72697,65
73863,100
74097,100
75130,100
75530,80
75830,77
76130,100
76163,100
76563,80
76863,77
77163,100
77196,100
77596,80
77896,77
78196,100
79230,100
79563,76
79696,72
79930,100
79963,100
80296,76
80430,72
80663,100
80696,100
81030,76
81163,72
81396,100
81430,100
81763,76
81896,72
82130,100
82163,100
82496,76
82630,72
82863,100
83896,100
84096,8
84162,14
84262,86
84296,100
84496,8
84562,14
84662,86
84696,100
84896,8
84962,14
85062,86
85096,100
85296,8
85362,14
85462,86
85496,100
85696,8
85762,14
85862,86
85896,100
86096,8
86162,14
86262,86
86296,100
86496,8
86562,14
86662,86
86696,100
86896,8
86962,14
87062,86
88096,100
88562,74
88796,71
89096,100
89129,100
89596,74
89829,71
90129,100
90162,100
90629,74
90862,71
91162,100
92196,100
92329,94
92529,70
92662,66
92896,100
92929,100
93062,94
93262,70
93396,66
93629,100
93662,100
93796,94
93996,70
94129,66
94362,100
94396,100
94529,94
94729,70
94862,66
95096,100
95129,100
95262,94
95462,70
95596,66
95829,100
96862,100
97062,0
97162,8
97228,85
97262,100
97462,0
97562,8
97628,85
97662,100
97862,0
97962,8
98028,85
98062,100
98262,0
98362,8
98428,85
98462,100
98662,0
98762,8
98828,85
98862,100
99062,0
99162,8
99228,85
99262,100
99462,0
99562,8
99628,85
99662,100
99862,0
99962,8
