"{""type"":""handy""}",
0,70
266,35
400,0
533,56
666,67
666,70
933,35
1066,0
1200,56
1333,67
1333,70
1600,35
1733,0
1866,56
2000,67
2000,70
2266,35
2400,0
2533,56
2666,67
2666,70
2933,35
3066,0
3200,56
3333,67
4333,71
4533,0
4766,62
4766,71
4966,0
5199,62
5199,71
5399,0
5633,62
5633,71
5833,0
6066,62
6066,71
6266,0
6499,62
6499,71
6699,0
6933,62
6933,71
7133,0
7366,62
8366,71
8766,0
8899,41
9032,65
9032,71
9432,0
9566,41
9699,65
9699,71
10099,0
10232,41
10366,65
10366,71
10766,0
10899,41
11032,65
11032,71
11432,0
11566,41
11699,65
12699,70
12832,0
12965,63
12965,70
13099,0
13232,63
13232,70
13365,0
13499,63
13499,70
13632,0
13765,63
13765,70
13899,0
14032,63
14032,70
14165,0
14299,63
14299,70
14432,0
14565,63
14565,70
14699,0
14832,63
14832,70
14965,0
15099,63
15099,70
15232,0
15365,63
15365,70
15499,0
15632,63
15632,70
15765,0
15899,63
16899,70
17065,53
17299,0
17499,62
17565,70
17565,70
17732,53
17965,0
18165,62
18232,70
18232,70
18399,53
18632,0
18832,62
18899,70
18899,70
19065,53
19299,0
19499,62
19565,70
19565,70
19732,53
19965,0
20165,62
20232,70
21232,71
21365,0
21498,58
21498,71
21632,0
21765,58
21765,71
21898,0
22032,58
22032,71
22165,0
22298,58
22298,71
22432,0
22565,58
22565,71
22698,0
22832,58
22832,71
22965,0
23098,58
23098,71
23232,0
23365,58
23365,71
23498,0
23632,58
23632,71
23765,0
23898,58
23898,71
24032,0
24165,58
24165,71
24298,0
24432,58
25432,72
25632,0
25698,11
25898,24
25998,36
26198,71
26198,72
26398,0
26465,11
26665,24
26765,36
26965,71
26965,72
27165,0
27232,11
27432,24
27532,36
27732,71
27732,72
27932,0
27998,11
28198,24
28298,36
28498,71
29498,68
29564,0
29631,16
29698,23
29831,66
29831,68
29898,0
29964,16
30031,23
30164,66
30164,68
30231,0
30298,16
30364,23
30498,66
30498,68
30564,0
30631,16
30698,23
30831,66
30831,68
30898,0
30964,16
31031,23
31164,66
31164,68
31231,0
31298,16
31364,23
31498,66
31498,68
31564,0
31631,16
31698,23
31831,66
31831,68
31898,0
31964,16
32031,23
32164,66
32164,68
32231,0
32298,16
32364,23
32498,66
32498,68
32564,0
32631,16
32698,23
32831,66
33831,0
33897,63
33964,52
34097,0
34164,10
34797,6
