"{""type"":""handy""}",
0,100
433,100
866,77
1266,43
1400,34
1633,35
1900,40
2366,63
2533,67
2533,100
2966,100
3400,77
3800,43
3933,34
4166,35
4433,40
4900,63
5066,67
6066,71
6266,67
6666,43
7032,35
7299,38
7466,43
7866,67
8032,72
8032,71
8232,67
8632,43
8999,35
9266,38
9432,43
9832,67
9999,72
10999,77
11099,72
11365,34
11465,28
11565,34
11865,70
11965,76
11965,77
12065,72
12332,34
12432,28
12532,34
12832,70
12932,76
12932,77
13032,72
13299,34
13399,28
13499,34
13799,70
13899,76
13899,77
13999,72
14265,34
14365,28
14465,34
14765,70
14865,76
15865,77
15898,70
15998,21
16098,8
16131,15
16265,65
16331,77
16331,77
16365,70
16465,21
16565,8
16598,15
16731,65
16798,77
16798,77
16831,70
16931,21
17031,8
17065,15
17198,65
17265,77
17265,77
17298,70
17398,21
17498,8
17531,15
17665,65
17731,77
17731,77
17765,70
17865,21
17965,8
17998,15
18131,65
18198,77
18198,77
18231,70
18331,21
18431,8
18465,15
18598,65
18665,77
18665,77
18698,70
18798,21
18898,8
18931,15
19065,65
19131,77
20131,77
20164,74
20264,21
20364,8
20564,72
20597,76
20631,76
20664,72
20764,23
20864,8
21064,72
21097,77
21097,77
21131,74
21231,21
21331,8
21531,72
21564,76
21597,76
21631,72
21731,23
21831,8
22031,72
22064,77
22064,77
22097,74
22197,21
22297,8
22497,72
22531,76
22564,76
22597,72
22697,23
22797,8
22997,72
23031,77
23031,77
23064,74
23164,21
23264,8
23464,72
23497,76
23531,76
23564,72
23664,23
23764,8
23964,72
23997,77
24997,77
25030,73
25130,25
25230,11
25430,73
25463,78
25497,73
25597,21
25697,8
25897,72
25930,77
25963,72
26063,21
26163,8
26597,71
26663,0
26763,21
26863,0
26963,18
27063,0
27163,14
27263,0
27363,8
27530,6
28430,8
28463,0
28563,18
28663,0
28763,16
28863,0
28963,16
29063,0
29163,6
29297,0
29397,8
29763,11
29797,0
29897,21
29997,0
30097,18
30197,0
30297,15
30397,0
30497,11
30597,0
30697,3
30797,0
30930,8
31230,8
31263,0
31363,21
31463,0
31563,21
31663,0
31763,16
31863,0
31963,11
32063,0
32163,6
32263,0
35630,0
35797,3
35963,13
36197,35
36530,81
36763,88
36797,100
36963,100
37963,100
38096,100
38329,85
38596,37
38729,16
38863,5
39029,0
39363,3
39596,16
40129,74
40229,78
40696,77
40863,72
41029,56
41363,3
41463,0
41596,3
41729,16
41863,57
41929,72
42063,78
42129,77
42196,71
42396,16
42496,3
42563,0
42663,3
42763,14
42929,62
42996,75
43063,77
44063,77
44129,71
44363,14
44463,3
44529,0
44596,3
44663,8
44963,73
45029,76
45029,77
45096,71
45329,14
45429,3
45496,0
45563,3
45629,8
45929,73
45996,76
45996,77
46063,71
46296,14
46396,3
46463,0
46529,3
46596,8
46896,73
46963,76
46963,77
47029,71
47263,14
47363,3
47429,0
47496,3
47563,8
47863,73
47929,76
48929,76
48962,71
48995,62
49095,8
49129,3
49162,0
49195,3
49229,12
49362,73
49395,77
49429,74
49462,67
49562,13
49595,3
49629,0
49662,3
49695,11
49795,65
49862,76
49862,76
49895,71
49929,62
50029,8
50062,3
50095,0
50129,3
50162,12
50295,73
50329,77
50362,74
50395,67
50495,13
50529,3
50562,0
50595,3
50629,11
50729,65
50795,76
50795,76
50829,71
50862,62
50962,8
50995,3
51029,0
51062,3
51095,12
51229,73
51262,77
51295,74
51329,67
51429,13
51462,3
51495,0
51529,3
51562,11
51662,65
51729,76
51729,76
51762,71
51795,62
51895,8
51929,3
51962,0
51995,3
52029,12
52162,73
52195,77
52229,74
52262,67
52362,13
52395,3
52429,0
52462,3
52495,11
52595,65
52662,76
53662,78
53695,75
53728,67
53828,11
53862,3
53895,0
53928,3
53962,11
54062,64
54128,76
54128,78
54162,75
54195,67
54295,11
54328,3
54362,0
54395,3
54428,11
54528,64
54595,76
54595,78
54628,75
54662,67
54762,11
54795,3
54828,0
54862,3
54895,11
54995,64
55062,76
55062,78
55095,75
55128,67
55228,11
55262,3
55295,0
55328,3
55362,11
55462,64
55528,76
55528,78
55562,75
55595,67
55695,11
55728,3
55762,0
55795,3
55828,11
55928,64
55995,76
55995,78
56028,75
56062,67
56162,11
56195,3
56228,0
56262,3
56295,11
56395,64
56462,76
56462,78
56495,75
56528,67
56628,11
56662,3
56695,0
56728,3
56762,11
56862,64
56928,76
57928,76
57961,52
57994,12
58028,0
58061,6
58128,65
58161,77
58194,60
58228,15
58261,0
58294,6
58361,64
58394,77
58428,57
58461,12
58494,0
58528,6
58594,65
58628,77
58661,64
58694,12
58728,0
58761,6
58828,63
58828,76
58861,52
58894,12
58928,0
58961,6
59028,65
59061,77
59094,60
59128,15
59161,0
59194,6
59261,64
59294,77
59328,57
59361,12
59394,0
59428,6
59494,65
59528,77
59561,64
59594,12
59628,0
59661,6
59728,63
59728,76
59761,52
59794,12
59828,0
59861,6
59928,65
59961,77
59994,60
60028,15
60061,0
60094,6
60161,64
60194,77
60228,57
60261,12
60294,0
60328,6
60394,65
60428,77
60461,64
60494,12
60528,0
60561,6
60628,63
60628,76
60661,52
60694,12
60728,0
60761,6
60828,65
60861,77
60894,60
60928,15
60961,0
60994,6
61061,64
61094,77
61128,57
61161,12
61194,0
61228,6
61294,65
61328,77
61361,64
61394,12
61428,0
61461,6
61528,63
62528,76
62561,52
62594,12
62628,0
62661,6
62728,65
62761,77
62794,60
62828,15
62861,0
62894,6
62961,64
62994,77
63028,57
63061,12
63094,0
63128,6
63194,65
63228,77
63261,64
63294,12
63328,0
63361,6
63461,63
63461,76
63494,52
63528,12
63561,0
63594,6
63661,65
63694,77
63728,60
63761,15
63794,0
63828,6
63894,64
63928,77
63961,57
63994,12
64028,0
64061,6
64128,65
64161,77
64194,64
64228,12
64261,0
64294,6
64394,63
64394,76
64428,52
64461,12
64494,0
64528,6
64594,65
64628,77
64661,60
64694,15
64728,0
64761,6
64828,64
64861,77
64894,57
64928,12
64961,0
64994,6
65061,65
65094,77
65128,64
65161,12
65194,0
65228,6
65328,63
65328,76
65361,52
65394,12
65428,0
65461,6
65528,65
65561,77
65594,60
65628,15
65661,0
65694,6
65761,64
65794,77
65828,57
65861,12
65894,0
65928,6
65994,65
66028,77
66061,64
66094,12
66128,0
66161,6
66261,63
67261,76
67361,0
67461,76
67461,76
67561,0
67661,76
