"{""type"":""handy""}",
0,77
333,66
833,22
1000,13
1266,21
1800,68
1966,75
1966,77
2300,66
2800,22
2966,13
3233,21
3766,68
3933,75
4933,77
4966,74
5199,59
5466,15
5733,29
5966,74
5966,77
5999,74
6233,59
6499,15
6766,29
6999,74
6999,77
7033,74
7266,59
7533,15
7799,29
8033,74
9033,77
9299,16
9533,67
9533,77
9799,16
10033,67
10033,77
10299,16
10533,67
10533,77
10799,16
11033,67
11033,77
11299,16
11533,67
11533,77
11799,16
12033,67
13033,100
13266,91
13399,78
13499,74
14466,100
14466,100
14699,91
14833,78
14933,74
15899,100
15899,100
16133,91
16266,78
16366,74
17333,100
18333,100
18499,91
18633,74
19033,100
19033,100
19199,91
19333,74
19733,100
19733,100
19899,91
20033,74
20433,100
20433,100
20599,91
20733,74
21133,100
21133,100
21299,91
21433,74
21833,100
22833,100
22933,91
22999,74
23166,100
23166,100
23266,91
23333,74
23499,100
23499,100
23599,91
23666,74
23833,100
23833,100
23933,91
23999,74
24166,100
24166,100
24266,91
24333,74
24499,100
24499,100
24599,91
24666,74
24833,100
24833,100
24933,91
24999,74
25166,100
25166,100
25266,91
25333,74
25499,100
25499,100
25599,91
25666,74
25833,100
25833,100
25933,91
25999,74
26166,100
27166,100
27366,90
27766,43
27932,35
28299,44
28632,85
28899,100
28899,100
29099,90
29499,43
29666,35
30032,44
30366,85
30632,100
31632,100
31932,40
32032,34
32132,39
32365,89
32498,100
32498,100
32798,40
32898,34
32998,39
33232,89
33365,100
33365,100
33665,40
33765,34
33865,39
34098,89
34232,100
34232,100
34532,40
34632,34
34732,39
34965,89
35098,100
36098,100
36298,35
36364,47
36431,84
36498,100
36498,100
36698,35
36764,47
36831,84
36898,100
36898,100
37098,35
37164,47
37231,84
37298,100
37298,100
37498,35
37564,47
37631,84
37698,100
37698,100
37898,35
37964,47
38031,84
38098,100
38098,100
38298,35
38364,47
38431,84
38498,100
38498,100
38698,35
38764,47
38831,84
38898,100
38898,100
39098,35
39164,47
39231,84
39298,100
40298,100
40931,71
41264,29
41598,16
41964,31
42631,90
42831,100
42831,100
43464,71
43798,29
44131,16
44498,31
45164,90
45364,100
46364,100
46664,76
46864,26
46997,16
47130,25
47597,100
47597,100
47897,76
48097,26
48230,16
48364,25
48830,100
48830,100
49130,76
49330,26
49464,16
49597,25
50064,100
51064,100
51197,77
51330,27
51397,17
51497,31
51664,100
51664,100
51797,77
51930,27
51997,17
52097,31
52264,100
52264,100
52397,77
52530,27
52597,17
52697,31
52864,100
52864,100
52997,77
53130,27
53197,17
53297,31
53464,100
53464,100
53597,77
53730,27
53797,17
53897,31
54064,100
55064,100
55164,77
55197,49
55264,36
55364,50
55497,100
55597,77
55630,49
55697,38
55797,48
55930,100
56030,78
56064,54
56130,39
56230,50
56364,100
56464,77
56497,51
56564,38
56664,49
56797,100
56830,90
56864,49
56897,39
57030,100
57064,87
57097,46
57130,36
57164,46
57264,100
57297,89
57330,50
57364,39
57397,47
57497,100
57530,88
57597,37
57630,46
57697,89
57730,100
57764,86
57830,35
57864,45
57930,89
57964,100
58030,46
58064,37
58097,44
58164,89
58197,100
58230,91
58264,49
58297,37
58330,44
58397,90
58430,100
58464,89
58497,43
58530,34
58564,45
58630,90
58664,100
58697,90
58730,45
58764,36
58797,44
58864,90
58897,100
58930,91
58964,46
58997,33
59030,45
59097,89
59130,100
59164,90
59197,48
59230,35
59264,45
59330,89
59364,100
60364,100
60464,84
60530,45
60564,36
61497,68
61664,34
62397,36
62497,48
62564,83
62630,100
62730,84
62830,35
63730,65
63930,35
64664,37
64797,64
64864,74
64897,90
64997,24
65164,70
65230,59
65364,14
65430,29
65564,77
65630,67
65797,11
65897,25
66064,77
66164,61
66364,11
66497,28
66697,76
66830,60
67064,11
67230,27
67464,77
67630,68
68030,26
68164,19
79964,20
